province,name,address
鄂尔多斯,东胜店,内蒙古鄂尔多斯市东胜区伊金霍洛东街与准格尔北路交汇
青岛,崂山店,青岛市崂山区辽阳东路12号
枣庄,枣庄店,枣庄市市中区振兴北路109号
威海,世昌店,威海火炬高技术产业开发区世昌大道100号
承德,承德店,承德市武烈路与都统府大街交叉口处西北角
济源,济水店,济源市济水大街以北建设银行西侧
济南,章丘店,山东省章丘市山泉路南
济南,全福店,济南市历城区北园大街与二环东路西北角
青岛,阜安店,青岛胶州市广州北路187号
大同,西环店,城区大庆路与西环路交叉口
菏泽,曹县店,菏泽市曹县清荷南路与湘江西路交汇处（世纪名城大润发
临沂,蒙山店,山东省临沂市蒙山大道与北园路交汇处
烟台,福海路店,山东省烟台市福山区福海路与崇文路交汇处（大润广场
潍坊,奎文店,新华路与福寿街交叉口西南角
济宁,兖州店,兖州市龙桥路与建设路交叉口西北角
青岛,三里河店,青岛胶州市福州南路97号
济南,经十东路店,济南市经十路11899号
临沂,北城店,临沂市北城新区汶河路与天津路交汇处
烟台,莱州店,莱州市原行星机械厂光安路
枣庄,滕州店,滕州市荆河中路处
聊城,东昌店,聊城市东昌东路与花园路交叉口东200米路南
临沂,红旗店,临沂市人民广场北侧兰山区新华路28号
烟台,衡山店,烟台经济技术开发区衡山路58号
唐山,迁安店,迁安市钢城大街与和平路交汇处西北角
菏泽,黄河路店,山东省菏泽市牡丹区牡丹路与黄河路交叉口西南角
济南,小清河店,小清河南路10777号
青岛,长江西路店,青岛市黄岛区峨眉山路与长江西路交叉口
淄博,福园店,淄博市张店世纪路与共青团路交叉路交叉口东南角
唐山,路北店,河北省唐山市路北区智源里凤城现代广场103号负一层
北京,科兴店,北京丰台区邻枫路1号
北京,西红门店,欣宁街15号北京荟聚负1-2f
吉林,东市店,吉林市昌邑区成都路汇龙广场A座
齐齐哈尔,龙沙店,齐齐哈尔市龙沙区龙华路132号
沈阳,和平店,沈阳市和平区南京南街78号
锦州,古塔店,锦州市古塔区北二里锦州华庭18号
牡丹江,东安店,牡丹江市东安区东一步行街55号
营口,营口店,东风路19号
哈尔滨,南岗店,哈尔滨市南岗区宣化街402号
吉林,解放北路店,吉林市昌邑区解放北路149号
佳木斯,向阳店,佳木斯市向阳区长安路972号
鞍山,民生店,鞍山市铁西区九道街139号(甲)
沈阳,沈河店,沈阳市沈河区文艺路80号
吉林,船营店,吉林市船营区解放中路120号
哈尔滨,香坊店,哈尔滨市香坊区赣水路68号
齐齐哈尔,建华店,齐齐哈尔市建华区军校街300号
鞍山,中华店,鞍山市铁东区解放东路80号
朝阳,朝阳店,朝阳市朝阳大街二段81号
松原,铂金店,吉林省松原市铂金路599号
沈阳,苏家屯店,沈阳市苏家屯区迎春街141号
长春,长春店,汽车产业开发区创业大街456号
通辽,通辽店,霍林河大街152号a楼
葫芦岛,葫芦岛店,葫芦岛市龙港区龙湾大街170号楼
哈尔滨,道外店,哈尔滨市道外区太古街210号
鞍山,海城店,海城市海州区北关街红星委北顺城路37号
沈阳,长白店,沈阳市和平区南京南街201号
大庆,西宾店,大庆市让胡路区西宾路116号
阜新,细河店,阜新市细河区中华路63号
铁岭,开原店,开原市哈大路188号
沈阳,铁西店,沈阳市铁西区建设西路5号
辽阳,辽阳店,辽阳市白塔区新运大街105号
黑河,北安店,黑龙江省北安市上海路88号
沈阳,皇姑店,沈阳市皇姑区昆山西路2号12门
吉林,西山店,吉林市昌邑区珲春中街1508号商场
佳木斯,万新店,佳木斯市郊区万新街399号万新街与勤政路交口处西北角
白城,白城店,吉林省白城市新华西大路2号
鞍山,立山店,鞍山市立山区鞍千路90栋S27号
辽源,辽源店,辽源市龙山区人民大街640号（市公安局南侧）
阜新,海州店,阜新市海州区中华路128号矿工大街与中华路交汇
大庆,萨尔图店,大庆市萨尔图区经六街303号
双鸭山,双鸭山店,双鸭山市尖山区九阳路5号
盘锦,兴隆台店,盘锦市兴隆台区泰山北路75号
营口,大石桥店,辽宁省大石桥市朝阳路31号
牡丹江,牡丹江西安店,牡丹江西安区新安街西五条路246号
大连,泉水店,辽宁省大连市甘井子区泉水P5区18号
锦州,体育场店,锦州市凌河区解放路五段26号银河广场1号
哈尔滨,松北店,哈尔滨松北区世茂大道400号城市之星小区S1号综合体
鞍山,湖南街店,辽宁省鞍山市铁东区湖南街16号
哈尔滨,工农大街店,黑龙江省哈尔滨市道里区四方台大道456号
松原,哈萨尔店,松原市前郭县乌兰大街哈萨尔购物广场1幢1号-1层1号
长春,活力汇店,长春市朝阳区华光街588号活力汇购物中心
吉林,江南店,吉林市高新区深圳街顺隆阳光萃苑
大连,锦辉店,辽宁省大连高新技术产业园区黄浦路517号B1
沈阳,青年大街店,辽宁省沈阳市沈河区青年大街173号【B1层】【B101】
长春,摩天活力城店,长春市经济开发区卫星路1777号
齐齐哈尔,铁锋店,铁锋店 齐齐哈尔市润瑞商贸有限公齐齐哈尔市铁锋区红旗路与向晖北街交口
丹东,振兴店,丹东市振兴区锦山大街260号天赐未来城
武汉,江汉店,武汉市江汉区江汉路257号
长沙,芙蓉店,长沙市芙蓉区万家丽路188号
常德,常德店,常德市洞庭大道与朗州路交汇处
荆州,荆州店,荆州市沙市区江津中路204号
南昌,八一店,南昌市广场南路217号
兰州,兰州店,兰州市城关区雁滩路3113号
西安,大唐西市店,西安市莲湖区劳动南路1号
长沙,天心店,长沙天心区韶山南路828号
长沙,宁乡店,长沙宁乡县玉潭路与花明路交汇处
宝鸡,宝鸡店,宝鸡市金台大道28号
武汉,姑嫂树店,武汉市江汉区兴业路与姑嫂树交汇  (南国北都广场)
南昌,莲塘店,南昌县迎宾大道3699号107栋
眉山,眉山店,眉山市东坡区环湖东路二段100号
成都,都江堰店,都江堰市幸福大道与莲花南路交汇处东南处
岳阳,岳阳店,岳阳市岳阳楼区青年路与建湘路交汇处
怀化,怀化店,湖南怀化市人民南路与人民东路口
南充,正阳店,四川省南充市果州大道东侧
南充,蓝光店,南充市红光路与文峰街路口西南角
孝感,孝感店,湖北省孝感市槐荫大道193号
绵阳,绵阳店,绵阳市跃进路4号
成都,温江店,四川省成都市温江区南熏大道与乏
随州,随州店,随州市青年路与烈山大道交汇处
九江,九江店,江西省九江市九瑞大道53号
宜宾,宜宾店,四川省宜宾市翠屏区航天路与戎州路交界处
重庆,合川店,重庆市合川区交通街东侧(原体育)
南昌,五湖店,南昌市高新区青山湖大道199号
天门,天门店,天门市钟惺大道88号
乐山,峨眉山店,峨眉山市佛光东路润彩广场
南充,南部店,四川省南充市南部县红岩子大道西廷线与国道212线东南
抚州,金巢店,江西省抚州市青云峰路14号凤凰城三期商业C区101房
西宁,海湖店,青海省西宁市海湖新区五四西路与文汇路交汇处
荆州,荆沙店,湖北省荆州市荆州区北京西路508号（万达广场内）
长沙,浏阳店,湖南省浏阳市集里街道办事处石霜路与花炮大道汇处
银川,金凤店,银川市金凤区北京中路与通达南街交汇处
九江,浔南店,江西省九江市浔南大道与金凤路交汇处
吉安,吉安店,吉安市吉州大道与鹭洲路交汇处
重庆,荣昌店,重庆市荣昌区昌元街道宝龙路23号
重庆,璧山店,重庆市壁山区沿河西路南段88号
达州,渠县店,四川省达州市渠县小溪路和规划路交叉西南侧(渠县五小
长沙,雨花店,湖南省长沙市雨花区木莲路C-16地块
成都,武侯店,四川省成都市武侯区航空路10号2层
兰州,兰石店,七里河区瓜州路1226负一层
武汉,保利店,武汉东湖新技术开发区关山大道332号武汉保利广场B1
武汉,蔡甸店,武汉市凤凰山工业园凤凰路2号
成都,金牛店,成都市蜀汉路98号
成都,高新店,成都市高新区泰和一街88号
成都,华阳店,成都双流县华阳镇华府大道2段1号
成都,东升店,成都市双流县白衣上街177号
潮州,潮州店,广东省潮州市潮州大道中段奎元广场A区
中山,石岐店,中山市石歧区大信南路二号
佛山,顺德店,佛山市顺德区大良街道办事处近良居委会延年路8号
东莞,大朗店,东莞市大朗镇美景大道新世纪长盛广场3H01大福源
中山,小榄店,小榄镇升平路18号(小榄大信新都汇内)
海口,国贸店,海南省海口市明珠路八号宜兴商业广场负一楼
北海,海城店,海城区北海大道与北京路交汇处
广州,花都店,广州市花都区新华街龙珠路36号
东莞,长安店,东莞市长安镇乌沙振安中路2号
深圳,龙华店,深圳市龙华街道办和平东路与东环二路交界西南角
韶关,韶关店,韶关市解放路与熏风路交汇处(风度名城)
海口,国兴店,海南省海口市美兰区国兴大道63号
佛山,大沥店,佛山市南海区大沥镇广佛路与工业路交叉处东南角
厦门,厦门店,厦门市思明区体育路工人体育馆负一层
肇庆,肇庆店,广东省肇庆市端州四路10号星湖国际广场二、三层商场
江门,新会店,江门市新会南新区新港大道与新会大道交界处东南角
广州,新塘店,广州市增城市新塘镇港口大道北金海岸城市广场
广州,番禺店,广州市番禺区市桥桥南路与南华路交汇处
东莞,厚街店,东莞市厚街镇南环路与吉祥路交汇处盛和广场2020号
阳江,三环店,阳江市江城区工业一街2号
佛山,桂城店,佛山市南海区桂城叠南村圣堂618号二楼
漳州,漳州店,福建省漳州市新华北路与漳福路交汇处东北角
柳州,柳北店,广西省柳州市柳北区胜利路12-6号
东莞,樟木头店,广东省东莞市樟木头镇莞樟路与西城路交汇处天一城广场
泉州,晋江店,晋江市青阳街道翰林路99号-103号
广州,增城店,广州市增城市荔城镇府佑路98号
福州,金山店,福建省福州市仓山区建新镇金榕路与金达路交叉口东南角
西双版纳傣族自治州,西双版纳店,景洪市勐海路2号新大桥头南西双十二城大润发购物广场
清远,清远店,清远市清城区先锋东路与东湖路交界处锦绣清城广场一楼
深圳,民治店,深圳市龙华区民治街道民治大道与民旺路交汇处民治商务
江门,鹤山店,广东省江门市鹤山市沙坪镇鹤山大道625号
惠州,惠东店,广东省惠州市惠东县平山华侨城富星路3号
龙岩,龙岩店,龙岩大道与西陂路交界口西南角
泉州,安溪店,福建省泉州市安溪县城厢镇二环路与建安大道交汇处东北
佛山,三水店,佛山市三水区西南街道文锋东路2号三水恒福广场
泉州,洛江店,福建省泉州市洛江区安吉路与万盛街交叉口西南侧
东莞,虎门店,虎门镇规划路与连升路交汇处虎门国际购物中心负一层
福州,长乐店,福建省福州市长乐区航城街道广场南路888号永荣城市广
安顺,安顺店,贵州省安顺市黄果树大道与市府路交汇处西北侧
阳江,北环店,阳江市江城区北环路金源广场大润发超市
佛山,罗村店,佛山市南海区罗村街道罗村村委会金盛广场
韶关,乐昌店,韶关市乐昌市乐城街道人民中路
柳州,文惠桥店,柳州市屏山大道185号负一楼
昆明,官南店,云南省昆明市官渡区官南大道2169号
莆田,莆田店,福建省莆田市荔城区镇海街道八二一南街98号101室
佛山,高明店,广东省佛山市高明区荷城街道沧江路423号1座
钦州,钦州店,广西自治区钦州市南珠大道南面与沙井大道交汇处
泉州,惠安店,福建省惠安县世纪大道达利世纪酒店裙楼1-3层
中山,东凤店,广东省中山市东凤镇凤翔大道2号
六盘水,六盘水店,贵州省六盘水市钟山区钟山大道与钢城大道交汇处
中山,西区店,中山市西区富华道32号
玉林,玉林店,广西玉林市玉州区民主南路499号（民主南路与中港路交
三明,三明店,福建省三明市梅列区玫瑰新村86幢负一层至负二层
海口,龙昆南路店,海口市龙昆南路58号
黔西南布依族苗族自治州,兴义店,兴义市桔山路与规划路交汇处
泉州,世纪店,福建省晋江市世纪大道与长兴路交汇处
三明,尤溪店,尤溪县滨河大道与东一路交叉口东北角
韶关,南雄店,南雄市雄中路与青云东路交界处东北角
泉州,温陵店,泉州市鲤城区温陵北路与丰泽路交汇处东北角
遵义,南白店,贵州省遵义市播州区南白镇西大街乌江路交汇东南处
柳州,柳南店,柳州市航一路9号银海小区北区
黔南布依族苗族自治州,都匀店,贵州省黔南州都匀市文峰大龙大道迎宾路与环东路交叉口
梧州,梧州店,广西梧州市大学路36号
湛江,赤坎店,湛江市人民大道北6号南国豪苑商场一、二楼
中山,三乡店,中山市三乡镇大布村二塘围
南宁,西乡塘店,南宁市大学东路75号
三明,永安店,福建省三明市永安市含笑大道1188
北海,银海店,北海市四川南路与新世纪大道交汇处东南角
梅州,梅州店,梅州市梅江区江南办梅水路
福州,王庄店,福建省福州市晋安区长乐路东侧紫阳商贸中心1号楼二
云浮,罗定店,罗定市罗城镇龙园东路原罗定体育馆
中山,古镇店,中山市古镇镇新兴大道东大信新都汇大润发
遵义,红花岗店,贵州省遵义市红花岗区东欣大道处彩虹城
漳州,龙文店,福建省漳州市迎宾路12号锦绣一方商业广场
惠州,开城大道店,惠州市惠阳区淡水上杨村地段金碧蓝湾一期写字楼1层01
江门,开平店,广东省开平市东兴大道与325国道
佛山,龙江店,佛山市顺德区龙江镇龙洲西路99号碧桂园商业广场
昆明,广福店,云南省昆明市官渡区广福路与金源大道交汇处处春城时光
南平,建阳店,福建省建阳市人民西路与谭山大道交叉口西南侧
泉州,石狮店,福建省泉州市石狮市石金路与308省道的地块上
厦门,集美店,厦门市集美区同集南路68号美岁天地B101
泉州,鲤城店,福建省泉州市鲤城区新华北路与环城西路交汇处
泉州,安海店,福建省泉州市晋江市安海镇西垵村兴安路24-26号
昆明,安宁店,云南省滇中新区安宁市连然街201号
东莞,南城店,广东省东莞市南城街道莞太路南城段115号负1层101室
宁德,宁德店,福建省宁德市蕉城区蕉城南路101大润发国际广场A2幢
珠海,斗门店,珠海市斗门区井岸镇中兴中路328号大信新都汇斗门店
百色,百色店,广西百色市龙景新区那毕大道与广州西路交汇处西南角
东莞,长安霄边店,广东省东莞市长安镇霄边大街36号鼎峰商业广场负1号楼1
泉州,德化店,福建省泉州市德化县龙浔镇兴南街77号
昆明,海源店,昆明市高新区海源北路999号海源高新天地地下负一楼
贵港,贵港店,广西壮族自治区贵港市港北区江北中路292号客世界广场
东莞,寮步店,东莞市寮步镇香市路
梅州,兴宁店,兴宁市人民大道中139号
肇庆,怀集店,肇庆市怀集县怀城镇河南金鸡头城市广场花园商业区
赣州,赣州店(HN),江西省赣州市章贡区红旗大道94号
赣州,章江店(HN),江西省赣州市章贡区长冈路13号
东莞,东莞清溪店,广东省东莞市清溪镇鹿鸣路56号125铺
东莞,新悦广场店,广东省东莞市东坑镇东坑凤兴路8号新悦广场1号楼105室
茂名,高州店,高州市潘州街道桂圆东路五区66号潘州广场负一层0001号
珠海,融德店,珠海市香洲区永德街8号融德广场一层013号铺位
海口,海秀中路店,海口市龙华区海垦街道海秀中路71号王府井海垦广场B1层
三亚,三亚店,三亚市天涯区解放二路261号一方百货广场1F、2F、4F
广州,黄埔店(待开业）,广州市黄埔区开创大道2565号1001-3房、1001-4房
桂林,漓江店,广西壮族自治区桂林市七星区漓江路19号
